Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Nil Admirari no Tenbin: Kuroyuri En'youtan,Adventure,,PSV,Idea Factory,Idea Factory,,,,0.02,2017,/games/boxart/full_1477090JapanFrontccc.jpg,0.005459111256687445
PDC World Championship Darts 2008,Sports,,DS,Unknown,Oxygen Interactive,,,,0.02,2017,/games/boxart/full_2139853PALFrontccc.jpg,0.005459111256687445
Shinkyoku Soukai Polyphonica,Adventure,,PS2,Prototype,Visual Arts,,,,0.02,2007,/games/boxart/full_shinkyoku-soukai-polyphonica_8JapanFront.jpg,0.0030951607162202264
Rugby World Cup 2015,Sports,,PSV,Big Ben Interactive,HB Studios,,,,0.02,2015,/games/boxart/full_3270024PALFrontccc.jpg,0.005311520688373105
San Goku Shi DS 2,Strategy,,DS,KOEI,Koei,,,,0.02,2007,/games/boxart/full_1212451JapanFrontccc.jpg,0.0030951607162202264
Strongest Tokyo University Shogi DS,Misc,,DS,Mycom,Unknown,,,,0.02,1986,/games/boxart/default.jpg,0.09337068160597571
Shin Sangoku Musou Online: Souten Ranbu,Action,,PS3,Tecmo Koei,Tecmo Koei Games,,,,0.02,2010,/games/boxart/full_shin-sangoku-musou-online-souten-ranbu_3JapanFront.jpg,0.002924789049589836
Majesty 2: The Fantasy Kingdom Sim,Strategy,E10,PC,Paradox Interactive,Ino-Co / 1C Company,,,,0.02,2009,/games/boxart/full_6375429AmericaFrontccc.jpg,0.002839900603478895
V-Rally 3,Racing,E,XB,Atari,Eden Studios,,,,0.02,2003,/games/boxart/full_8981776AmericaFrontccc.jpg,0.004960809604127412
Dead to Rights,Shooter,T,GBA,Namco,Torus Games,,3.6,,0.02,2004,/games/boxart/full_3840202AmericaFrontccc.jpg,0.004338677137340836
Full House Kiss 2,Adventure,,PS2,Capcom,Tenky,,,,0.02,2006,/games/boxart/full_4980385JapanFrontccc.jpg,0.0039298135303480084
Thunder Force VI,Shooter,,PS2,Sega,"TechnoSoft Co., Ltd.",,,,0.02,2008,/games/boxart/full_2298479JapanFrontccc.jpg,0.002708228953675768
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,Misc,,PSP,Paon,Paon Corporation,,,,0.02,2010,/games/boxart/full_1111222JapanFrontccc.jpg,0.002924789049589836
Dinotopia: The Sunstone Odyssey,Action,T,GC,TDK Mediactive,Vicious Cycle,,4.7,,0.02,2003,/games/boxart/full_6697622AmericaFrontccc.jpg,0.004960809604127412
