Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Command & Conquer: Red Alert,Strategy,T,PS,Westwood Studios,Westwood Studios,,7.8,,0.41,1997,/games/boxart/full_9514584AmericaFrontccc.jpg,0.22943480693900364
Tales of Zestiria,Role-Playing,,PC,Namco Bandai Games,Namco Bandai Games,,,,0.41,2015,/games/boxart/full_2480725AmericaFrontccc.jpeg,0.10888617411164865
Dig Dug,Puzzle,,NES,Namco,Namco,,,,0.41,1985,/games/boxart/full_4522513JapanFrontccc.jpg,0.4374733247972685
Ogre Battle 64: Person of Lordly Caliber,Role-Playing,T,N64,Atlus,Quest Corporation,,9.1,,0.41,2000,/games/boxart/full_2067643AmericaFrontccc.jpg,0.1588470032156832
Superman: The New Superman Adventures,Action,E,N64,Titus,Titus Software,,,,0.41,1999,/games/boxart/7261806ccc.jpg,0.1524900509539926
Project CARS,Racing,E,XOne,Bandai Namco Games,Slightly Mad Studios,,,,0.41,2015,/games/boxart/full_4398223AmericaFrontccc.jpg,0.10888617411164865
Fantastic Pets,Simulation,E,X360,THQ,Blitz Game Studios,,,,0.41,2011,/games/boxart/full_fantastic-pets_368AmericaFront.jpg,0.06402048655569818
NiGHTS: Journey of Dreams,Platform,E,Wii,Sega,Sonic Team,,7.0,9.1,0.41,2007,/games/boxart/full_6129765AmericaFrontccc.jpg,0.06345079468251463
The Terminator: Dawn of Fate,Action,T,PS2,Atari,Paradigm Entertainment,,,,0.41,2002,/games/boxart/full_2935681AmericaFrontccc.jpg,0.105363246215918
Rogue Galaxy: Director's Cut,Role-Playing,,PS2,Sony Computer Entertainment,Level 5,,,,0.41,2007,/games/boxart/full_4840583JapanFrontccc.jpg,0.06345079468251463
Transformers: Revenge of the Fallen,Action,E10,PSP,Activision,Savage Entertainment,,3.8,,0.41,2009,/games/boxart/full_2557199AmericaFrontccc.jpg,0.05821796237131735
Armored Core,Simulation,T,PS,Sony Computer Entertainment,From Software,,7.2,,0.41,1997,/games/boxart/7474120ccc.jpg,0.22943480693900364
James Patterson Women's Murder Club: Games of Passion,Adventure,T,DS,THQ,Griptonite Games,,,,0.41,2009,/games/boxart/full_james-patterson-womens-murder-club-games-of-passion_6AmericaFront.jpg,0.05821796237131735
Top Spin 4,Sports,E,X360,2K Sports,2K Czech,,8.2,,0.41,2011,/games/boxart/full_top-spin-4_759AmericaFront.jpg,0.06402048655569818
Densha De Go! 2,Simulation,,PS,Taito,Taito Corporation,,,,0.41,1999,/games/boxart/full_3272232JapanFrontccc.jpg,0.1524900509539926
SpongeBob SquigglePants,Misc,E,Wii,THQ,WayForward Technologies,,5.4,,0.41,2011,/games/boxart/full_spongebob-squigglepants_995AmericaFront.jpg,0.06402048655569818
Mass Effect Trilogy,Action,M,X360,Electronic Arts,BioWare,,,,0.41,2012,/games/boxart/full_8238237AmericaFrontccc.jpg,0.10239248788771838
Monster Jam: Urban Assault,Racing,E,Wii,Activision,Torus Games,,,,0.41,2008,/games/boxart/full_1887102AmericaFrontccc.jpg,0.05551869355035324
Harry Potter and the Deathly Hallows - Part 1,Action,E10,DS,Electronic Arts,EA Bright Light,,,,0.41,2010,/games/boxart/full_harry-potter-and-the-deathly-hallows-part-1_7AmericaFront.jpg,0.05995817551659162
Katamari Forever,Puzzle,E,PS3,Namco Bandai,Bandai Namco Games,,7.3,,0.41,2009,/games/boxart/full_4990316AmericaFrontccc.jpg,0.05821796237131735
Madden NFL Football,Sports,E,3DS,EA Sports,EA Tiburon,,4.5,,0.41,2011,/games/boxart/full_madden-nfl-football_641AmericaFront.jpg,0.06402048655569818
Harvest Moon: Grand Bazaar,Simulation,E,DS,Natsume,Marvelous Interactive,,,,0.41,2010,/games/boxart/full_harvest-moon-grand-bazaar_573AmericaFront.jpg,0.05995817551659162
Sword Art Online: Lost Song,Role-Playing,,PSV,Namco Bandai Games,Namco Bandai Games,,,,0.41,2015,/games/boxart/full_2322544AmericaFrontccc.jpg,0.10888617411164865
Band Hero,Misc,E10,PS2,Activision,Vicarious Visions,,6.0,,0.41,2009,/games/boxart/full_6172496AmericaFrontccc.jpg,0.05821796237131735
UEFA Euro 2008 Austria-Switzerland,Sports,E,PS3,Electronic Arts,Unknown,,,,0.41,2008,/games/boxart/7307595ccc.jpg,0.05551869355035324
Armored Core 2: Another Age,Simulation,T,PS2,Agetec,From Software,,,,0.41,2001,/games/boxart/full_1938386AmericaFrontccc.jpg,0.11788045197090394
Buzz! Junior: Jungle Party,Misc,E10,PS2,Sony Computer Entertainment,Cohort Studios,,,,0.41,2007,/games/boxart/full_8264620PALFrontccc.jpg,0.06345079468251463
Mortal Kombat: Deadly Alliance,Action,M,GC,Midway Games,Midway,,8.6,,0.41,2002,/games/boxart/full_6903718AmericaFrontccc.jpg,0.105363246215918
NBA 2K11,Sports,E,PS2,2K Sports,Visual Concepts,,,,0.41,2010,/games/boxart/full_nba-2k11_4AmericaFront.jpg,0.05995817551659162
AKB1/48: Idol to Koishitara...,Misc,,PSP,Namco Bandai,Bandai Namco Games,,,,0.41,2010,/games/boxart/full_akb148-idol-to-koishitara_697JapanFront.jpg,0.05995817551659162
Pro Pinball,Misc,E,PS,Interplay,Cunning Developments,,,,0.41,1996,/games/boxart/full_3282529AmericaFrontccc.jpg,0.2600532792084233
'98 Koshien,Sports,,PS,Magical Company,Magical Company,,,,0.41,1998,/games/boxart/full_8943506JapanFrontccc.jpg,0.14579851356637422
NBA 2K9,Sports,E,PS2,2K Sports,Visual Concepts,,7.0,,0.41,2008,/games/boxart/full_1047414AmericaFrontccc.jpg,0.05551869355035324
Up,Adventure,E,PSP,THQ,THQ,,,,0.41,2009,/games/boxart/full_1300815AmericaFrontccc.jpg,0.05821796237131735
Green Day: Rock Band,Misc,T,X360,MTV Games,Harmonix Music Systems,,7.8,,0.41,2010,/games/boxart/full_green-day-rock-band_4AmericaFront.jpg,0.05995817551659162
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),Misc,E,GBA,Konami,Konami Computer Entertainment Japan,,,,0.41,2001,/games/boxart/full_6813786JapanFrontccc.jpg,0.11788045197090394
Nintendo Labo: Toy-Con 03 Vehicle Kit,Racing,E,NS,Nintendo,Nintendo EPD,,7.0,,0.41,2018,/games/boxart/full_5283456AmericaFrontccc.png,0.16346383860936117
Just Dance 2015,Music,E10,PS4,Ubisoft,Ubisoft Paris,,,,0.41,2014,/games/boxart/full_3067404AmericaFrontccc.jpg,0.09273500407129305
Marvel: Ultimate Alliance 2,Role-Playing,T,PS2,Activision,n-Space,,,,0.41,2009,/games/boxart/full_7090052AmericaFrontccc.jpg,0.05821796237131735
LEGO Harry Potter: Years 5-7,Action-Adventure,E10,3DS,Warner Bros. Interactive,TT Fusion,,,,0.41,2011,/games/boxart/full_305959AmericaFrontccc.jpg,0.06402048655569818
Mario no Super Picross,Puzzle,,SNES,Nintendo,Jupiter Multimedia,,,,0.41,1995,/games/boxart/full_2638101JapanFrontccc.jpg,0.42873575237896056
"Ed, Edd n Eddy: The Mis-Edventures",Platform,E,PS2,Midway Games,A2M,,4.8,,0.41,2005,/games/boxart/full_9124981AmericaFrontccc.jpg,0.08852805907628586
Jikkyou Powerful Pro Yakuu '94,Sports,,SNES,Konami,Konami,,,,0.41,1994,/games/boxart/full_5484512JapanFrontccc.jpg,0.6488368412723534
Sword Art Online: Hollow Realization,Role-Playing,T,PS4,Namco Bandai Games,Aquria,,,,0.41,2016,/games/boxart/full_8194774AmericaFrontccc.jpg,0.12130536406402617
Disney's Tarzan Untamed,Platform,E,PS2,Ubisoft,Ubisoft Montreal,,,,0.41,2001,/games/boxart/6473875ccc.jpg,0.11788045197090394
Battlefield 2: Modern Combat,Shooter,T,X360,Electronic Arts,Digtal Illusions,,7.8,,0.41,2006,/games/boxart/full_6537422AmericaFrontccc.jpg,0.08056117737213417
Theatrhythm Final Fantasy: Curtain Call,Music,T,3DS,Square Enix,Square Enix,,,,0.41,2014,/games/boxart/full_5152415AmericaFrontccc.jpg,0.09273500407129305
Knockout Kings 2001,Fighting,T,PS,EA Sports,EA Sports,,,,0.41,2000,/games/boxart/full_3648950AmericaFrontccc.jpg,0.1588470032156832
From Russia with Love,Action,T,PS2,Electronic Arts,EA Redwood Shores,,,,0.41,2005,/games/boxart/9778305ccc.jpg,0.08852805907628586
Shadow Tactics: Blades of the Shogun,Strategy,M,PC,Daedalic Entertainment,Mimimi Productions,,8.3,,0.41,2016,/games/boxart/full_4638424PALFrontccc.jpg,0.12130536406402617
Destiny: The Collection,Shooter,T,XOne,Activision,Bungie,,,,0.41,2016,/games/boxart/full_6007302AmericaFrontccc.jpg,0.12130536406402617
NBA Jam,Sports,E,Wii,EA Sports,EA Canada,,8.0,,0.41,2010,/games/boxart/full_nba-jam_6AmericaFront.jpg,0.05995817551659162
Hyperdimension Neptunia Re;Birth1,Role-Playing,,PC,Unknown,Compile Heart,,,,0.41,2010,/games/boxart/full_8456609AmericaFrontccc.jpg,0.05995817551659162
Just Dance Kids 2,Misc,E,X360,Ubisoft,Ubisoft,,,,0.41,2011,/games/boxart/full_just-dance-kids-2_933AmericaFront.jpg,0.06402048655569818
Rune Factory 3: A Fantasy Harvest Moon,Role-Playing,E,DS,Natsume,Neverland Company,,8.0,,0.41,2010,/games/boxart/full_rune-factory-3-a-fantasy-harvest-moon_10AmericaFront.jpg,0.05995817551659162
Naughty Bear,Action,T,X360,505 Games,Artificial Mind and Movement,,4.4,,0.41,2010,/games/boxart/full_naughty-bear_5AmericaFront.jpg,0.05995817551659162
Minority Report: Everybody Runs,Action,T,PS2,Activision,Treyarch,,,,0.41,2002,/games/boxart/1480757ccc.jpg,0.105363246215918
Spider-Man: Web of Shadows,Action,T,X360,Activision,Shaba Games / Treyarch,,6.6,,0.4,2008,/games/boxart/full_7288046AmericaFrontccc.jpg,0.05416457907351536
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,Misc,,PS,Sony Computer Entertainment,Various,,,,0.4,2003,/games/boxart/full_5067693PALFrontccc.jpg,0.09921619208254825
Six Flags Fun Park,Misc,E10,Wii,Ubisoft,7 Studios,,,,0.4,2009,/games/boxart/full_9809091AmericaFrontccc.jpg,0.05679801206957791
NFL GameDay 2002,Sports,E,PS,Sony Computer Entertainment,989 Sports,,,,0.4,2001,/games/boxart/51376ccc.jpg,0.11500531899600384
Pengo,Action,,2600,Atari,Atari,,,,0.4,1984,/games/boxart/3937791ccc.jpg,5.115089514066496
Mouse Trap,Action,,2600,Coleco,Coleco,,,,0.4,1982,/games/boxart/full_2394423AmericaFrontccc.jpg,0.9031384059607134
Tak and the Power of Juju,Platform,E,GC,THQ,Avalanche Software,,,,0.4,2003,/games/boxart/6903207ccc.jpg,0.09921619208254825
TNA iMPACT!,Fighting,T,PS3,Midway Games,Midway Studios Los Angeles,,6.3,,0.4,2008,/games/boxart/1071188ccc.jpg,0.05416457907351536
Beowulf: The Game,Action,M,X360,Ubisoft,Ubisoft,,4.9,,0.4,2007,/games/boxart/5381321ccc.jpg,0.061903214324404536
Cabela's Big Game Hunter 2010,Sports,T,PS3,Activision,Cauldron,,,,0.4,2009,/games/boxart/full_4149192AmericaFrontccc.jpg,0.05679801206957791
Skylanders: SuperChargers,Action-Adventure,E10,XOne,Activision,Vicarious Visions,,,,0.4,2015,/games/boxart/full_2264264AmericaFrontccc.jpg,0.1062304137674621
NBA Jam,Sports,E,PS3,EA Sports,EA Tiburon,,,,0.4,2010,/games/boxart/full_nba-jam_8AmericaFront.jpg,0.05849578099179671
Medarot: Kabuto / Kuwagata Version,Role-Playing,,GB,Imagineer,Natsume,,,,0.4,1997,/games/boxart/default.jpg,0.22383883603805235
Moshi Monsters: Moshlings Theme Park,Simulation,E,DS,Activision,"Black Lantern Studios, Inc.",,,,0.4,2012,/games/boxart/full_4583329AmericaFrontccc.jpg,0.0998951101343594
NBA 2K10,Sports,E,PS2,2K Sports,Visual Concepts,,,,0.4,2009,/games/boxart/full_3167864AmericaFrontccc.jpg,0.05679801206957791
Defender,Shooter,T,PS2,Midway Games,7 Studios,,,,0.4,2002,/games/boxart/2828255ccc.jpg,0.10279341094235903
NFL GameDay 2003,Sports,E,PS2,Sony Computer Entertainment,989 Sports,,,,0.4,2002,/games/boxart/6407824ccc.jpg,0.10279341094235903
Turbo Dismount,Simulation,,PC,Unknown,Secret Exit Ltd.,,,,0.4,2002,/games/boxart/full_393363AmericaFrontccc.jpg,0.10279341094235903
Style Lab: Makeover,Simulation,E,DS,Ubisoft,Jet Black Games,,,,0.4,2009,/games/boxart/full_839142AmericaFrontccc.jpg,0.05679801206957791
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Misc,,Wii,Namco Bandai,Bandai Namco Games,,,,0.4,2009,/games/boxart/full_3465219JapanFrontccc.jpg,0.05679801206957791
Congo Bongo,Action,,2600,Sega,Sega,,,,0.4,1983,/games/boxart/172547ccc.jpg,1.5432098765432103
Overlord,Adventure,T,X360,Codemasters,Triumph Studios,,7.7,,0.4,2007,/games/boxart/357309ccc.jpg,0.061903214324404536
Rapala Pro Bass Fishing 2010,Sports,E,X360,Activision,FUN Labs,,,,0.4,2010,/games/boxart/full_rapala-pro-bass-fishing-2010_599AmericaFront.jpg,0.05849578099179671
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Simulation,,PC,Unknown,marbenx,,,,0.4,2010,/games/boxart/full_8090991AmericaFrontccc.jpg,0.05849578099179671
Gauntlet: Seven Sorrows,Role-Playing,T,PS2,Midway Games,Midway Studios San Diego,,,,0.4,2005,/games/boxart/62707ccc.jpg,0.08636883812320573
Harry Potter: Quidditch World Cup,Sports,E,GC,Electronic Arts,Electronic Arts,,7.2,,0.4,2003,/games/boxart/8301147ccc.jpg,0.09921619208254825
Warriors Orochi 2 (JP sales),Action,T,PS2,KOEI,Omega Force,,,,0.4,2008,/games/boxart/full_8361278AmericaFrontccc.jpg,0.05416457907351536
Dragon Warrior Monsters 2: Tara's Adventure,Role-Playing,E,GB,Enix,TOSE Software,,,,0.4,2001,/games/boxart/6264653ccc.jpg,0.11500531899600384
Project X Zone,Role-Playing,T,3DS,Namco Bandai Games,Banpresto,,6.5,,0.4,2013,/games/boxart/full_4681594AmericaFrontccc.png,0.08635765020833815
The Chronicles of Narnia: Prince Caspian,Adventure,T,PS2,Disney Interactive Studios,Traveller's Tales,,,,0.4,2008,/games/boxart/683262ccc.jpg,0.05416457907351536
The Incredibles: Rise of the Underminer,Action,E,GBA,THQ,Helixe,,,,0.4,2005,/games/boxart/8652460ccc.jpg,0.08636883812320573
Pet in TV,Strategy,,PS,Sony Computer Entertainment,SCE,,,,0.4,1998,/games/boxart/full_399750PALFrontccc.jpg,0.14224245225987728
The Gunstringer,Shooter,T,X360,Microsoft Studios,Twisted Pixel Games,,7.6,,0.4,2011,/games/boxart/full_the-gunstringer_449AmericaFront.jpg,0.0624590112738519
Battalion Wars,Strategy,T,GC,Nintendo,Kuju Entertainment,,,,0.4,2005,/games/boxart/full_2574011AmericaFrontccc.jpg,0.08636883812320573
NBA ShootOut 2000,Sports,E,PS,989 Studios,989 Sports,,,,0.4,1999,/games/boxart/full_2320691AmericaFrontccc.jpg,0.1487707814185294
Power Rangers: Dino Thunder,Action,E,GC,THQ,Pacific Coast Power & Light,,5.3,,0.4,2004,/games/boxart/6444207ccc.jpg,0.08677354274681671
Wall-E,Platform,E,PS3,THQ,Heavy Iron Studios,,,,0.4,2008,/games/boxart/6116554ccc.jpg,0.05416457907351536
Samurai Shodown,Fighting,,SNES,Takara,Takara,,,,0.4,1994,/games/boxart/full_9701077AmericaFrontccc.jpg,0.6330115524608326
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Action,E,DS,Konami,Konami,,7.5,,0.4,2009,/games/boxart/full_1829350AmericaFrontccc.jpg,0.05679801206957791
Sid Meier's Civilization: Beyond Earth,Simulation,E10,PC,2K Games,Firaxis Games,,,,0.4,2014,/games/boxart/full_9500593AmericaFrontccc.jpg,0.09047317470370055
Disney Sing It! High School Musical 3: Senior Year,Misc,E,PS3,Disney Interactive Studios,Zoe Mode,,,,0.4,2009,/games/boxart/full_4803965AmericaFrontccc.jpg,0.05679801206957791
MLB 15: The Show,Sports,E,PS3,Sony Computer Entertainment,SCE San Diego Studio,,,,0.4,2015,/games/boxart/full_622689AmericaFrontccc.jpg,0.1062304137674621
James Cameron's Avatar: The Game,Action,E10,DS,Ubisoft,Ubisoft Montreal,,6.4,,0.4,2009,/games/boxart/full_7252817AmericaFrontccc.jpg,0.05679801206957791
Salt and Sanctuary,Role-Playing,,PC,Unknown,Ska Studios,,,,0.4,2009,/games/boxart/full_586638AmericaFrontccc.jpg,0.05679801206957791
Fighting Vipers,Fighting,T,SAT,Sega,Sega-AM2,,8.0,,0.4,1996,/games/boxart/407638ccc.jpg,0.2537105163009008
NCAA GameBreaker 2000,Sports,E,PS,989 Studios,Red Zone Entertainment,,,,0.4,1999,/games/boxart/full_6859966AmericaFrontccc.jpg,0.1487707814185294
Transformers: Fall of Cybertron,Action,RP,PS3,Activision,High Moon Studios,,,,0.4,2012,/games/boxart/default.jpg,0.0998951101343594
The Legend of Spyro: Dawn of the Dragon,Platform,E10,PS2,Sierra Entertainment,Etranges Libellules,,,,0.4,2008,/games/boxart/full_1518740AmericaFrontccc.jpg,0.05416457907351536
AKB1/48: Idol to Guam de Koishitara...,Misc,,PSP,Namco Bandai,Bandai Namco Games,,,,0.4,2011,/games/boxart/full_akb148-idol-to-guam-de-koishitara_231JapanFront.jpg,0.0624590112738519
Monster Trucks Mayhem,Racing,E,Wii,Zoo Games,Team6 Game Studios,,,,0.4,2009,/games/boxart/full_8805579AmericaFrontccc.jpg,0.05679801206957791
Mortal Kombat Mythologies: Sub-Zero,Fighting,M,N64,Midway Games,Avalanche Software,,,,0.4,1997,/games/boxart/5355763ccc.jpg,0.22383883603805235
NFL Quarterback Club 2000,Sports,E,N64,Acclaim Entertainment,Iguana Entertainment,,,,0.4,1999,/games/boxart/1475274ccc.jpg,0.1487707814185294
RR64: Ridge Racer 64,Racing,E,N64,Nintendo,Nintendo Software Technology Corporation,,,,0.4,2000,/games/boxart/9008686ccc.jpg,0.1549726860640812
Top Gear Rally,Racing,E,N64,Kemco,Boss Game Studios,,,,0.4,1997,/games/boxart/9093580ccc.jpg,0.22383883603805235
18 Wheeler: American Pro Trucker,Racing,E,PS2,Acclaim Entertainment,Acclaim Studios Cheltenham,,6.0,,0.4,2001,/games/boxart/full_5220795AmericaFrontccc.jpg,0.11500531899600384
Atari Anthology,Misc,E,PS2,Atari,Digital Eclipse,,,,0.4,2004,/games/boxart/9552455ccc.jpg,0.08677354274681671
Bugs Bunny: Lost in Time,Platform,E,PS,Infogrames,Behaviour Interactive Inc.,,7.0,,0.4,1999,/games/boxart/full_4827839AmericaFrontccc.jpg,0.1487707814185294
Marvel: Ultimate Alliance,Role-Playing,T,Wii,Activision,Vicarious Visions,,6.9,,0.4,2006,/games/boxart/7126229ccc.jpg,0.07859627060696017
Hot Wheels: Beat That!,Racing,E,PS2,Activision,Eutechnyx,,,,0.4,2007,/games/boxart/2185561ccc.jpg,0.061903214324404536
MLB 2006,Sports,E,PS2,Sony Computer Entertainment,989 Sports,,,,0.4,2005,/games/boxart/7999756ccc.gif,0.08636883812320573
Savage Lands,Role-Playing,,PC,Unknown,Last Bastion Studios LLC,,,,0.4,2005,/games/boxart/full_3154821AmericaFrontccc.jpg,0.08636883812320573
Brunswick Pro Bowling,Sports,E,PS2,Crave Entertainment,Point of View,,,,0.4,2007,/games/boxart/7100743ccc.jpg,0.061903214324404536
My Virtual Tutor: Reading Adventure First to Second Grade,Misc,E,DS,Mentor Interactive,1st Playable Productions,,,,0.4,2009,/games/boxart/full_8693129AmericaFrontccc.jpg,0.05679801206957791
Rocket Power: Dream Scheme,Action,E,GBA,THQ,Helixe,,,,0.4,2001,/games/boxart/6578805ccc.jpg,0.11500531899600384
Sega Superstars Tennis,Sports,E10,PS3,Sega,Sumo Digital,,6.8,,0.4,2008,/games/boxart/6639164ccc.jpg,0.05416457907351536
MX vs. ATV Unleashed,Racing,E,XB,THQ,Rainbow Studios,,,,0.4,2005,/games/boxart/5958443ccc.jpg,0.08636883812320573
Rampage: Total Destruction,Action,E10,GC,Midway Games,"Pipeworks Software, Inc.",,,,0.4,2006,/games/boxart/1855481ccc.jpg,0.07859627060696017
Spore Hero,Simulation,E10,Wii,Electronic Arts,Maxis,,5.8,,0.4,2009,/games/boxart/full_3327077AmericaFrontccc.jpg,0.05679801206957791
The Urbz: Sims in the City,Simulation,T,GC,Electronic Arts,Maxis,,7.6,,0.4,2004,/games/boxart/full_6710705AmericaFrontccc.jpg,0.08677354274681671
Road Rash: Jailbreak,Racing,T,PS,Electronic Arts,Electronic Arts,,,,0.4,1999,/games/boxart/full_road-rash-jailbreak_4AmericaFront.jpg,0.1487707814185294
WWE SmackDown! vs. RAW 2006,Fighting,T,PSP,THQ,Yuke's,,8.1,,0.4,2005,/games/boxart/5747678ccc.jpg,0.08636883812320573
Mother 3,Role-Playing,,GBA,Nintendo,Brownie Brown / HAL Laboratory / Nintendo SPD Production Group No. 3,,,,0.4,2006,/games/boxart/full_3860031JapanFrontccc.jpg,0.07859627060696017
Nicktoons: Freeze Frame Frenzy,Action,E,GBA,THQ,Altron,,,,0.4,2004,/games/boxart/full_3857046AmericaFrontccc.jpg,0.08677354274681671
Winter Sports 2: The Next Challenge,Sports,E,Wii,Crave Entertainment,49Games,,,,0.4,2008,/games/boxart/full_2072638AmericaFrontccc.jpg,0.05416457907351536
Rocket League,Sports,E,NS,505 Games,Psyonix Studios,,9.2,,0.4,2018,/games/boxart/full_7402618AmericaFrontccc.jpg,0.15947691571644992
Transformers: The Game,Action,T,PS3,Activision,Traveller's Tales,,,,0.4,2007,/games/boxart/1839209ccc.jpg,0.061903214324404536
The Darkness II,Shooter,M,X360,2K Games,Digital Extremes,,,,0.4,2012,/games/boxart/full_5374143AmericaFrontccc.jpg,0.0998951101343594
The Lego Ninjago Movie Videogame,Action,E10,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.4,2017,/games/boxart/full_3938123AmericaFrontccc.jpg,0.10918222513374891
Ghostbusters: The Video Game,Action,E,DS,Atari,Zen Studios Inc.,,,,0.4,2009,/games/boxart/full_8087054AmericaFrontccc.jpg,0.05679801206957791
You Don't Know Jack,Misc,T,PS,Sierra Entertainment,"Starsphere Interactive, Inc.",,8.5,,0.4,1999,/games/boxart/full_2091806AmericaFrontccc.jpg,0.1487707814185294
Momotaro Dentetsu 2017: Tachiagare Nippon!!,Party,,3DS,Nintendo,Valhalla Game Studios,,,,0.4,2016,/games/boxart/full_6666780JapanFrontccc.jpg,0.11834669664783043
Fushigi no Dungeon 2: Fuurai no Shiren,Role-Playing,,SNES,ChunSoft,ChunSoft,,,,0.4,1995,/games/boxart/full_4379754JapanFrontccc.jpg,0.4182787828087421
Farming Simulator 2015,Simulation,E,X360,Focus Home Interactive,Giants Software,,,,0.4,2015,/games/boxart/full_2915488AmericaFrontccc.jpg,0.1062304137674621
WipeOut 3 The Game,Party,E10,Wii,Activision,Behaviour Interactive,,,,0.4,2012,/games/boxart/full_972265AmericaFrontccc.jpg,0.0998951101343594
Star Wars The Clone Wars: Republic Heroes,Action,E10,DS,LucasArts,Krome Studios,,5.9,,0.4,2009,/games/boxart/full_7141238AmericaFrontccc.jpg,0.05679801206957791
NBA Live 2002,Sports,E,XB,EA Sports,EA Canada,,,,0.4,2001,/games/boxart/3950505ccc.jpg,0.11500531899600384
Star Wars: Clone Wars,Shooter,T,GC,LucasArts,Pandemic Studios,,7.3,,0.4,2002,/games/boxart/full_9125501AmericaFrontccc.jpg,0.10279341094235903
Castlevania: Portrait of Ruin,Platform,T,DS,Konami,Konami,,8.5,,0.4,2006,/games/boxart/5991528ccc.jpg,0.07859627060696017
Boku no Natsuyasumi,Adventure,,PS,Sony Computer Entertainment,Millennium Kitchen,,,,0.4,2000,/games/boxart/full_7615697JapanFrontccc.jpg,0.1549726860640812
Destiny: The Taken King,Shooter,T,X360,Activision,Bungie,,,,0.4,2015,/games/boxart/full_3616188AmericaFrontccc.jpg,0.1062304137674621
Disney Sing It,Misc,E,PS3,Disney Interactive Studios,Zoe Mode,,,,0.4,2008,/games/boxart/full_9076699AmericaFrontccc.jpg,0.05416457907351536
I-Ninja,Platform,T,PS2,Namco,Argonaut Games,,7.2,,0.4,2003,/games/boxart/684922ccc.jpg,0.09921619208254825
Armored Core V,Simulation,T,PS3,Namco Bandai,From Software,,,,0.4,2012,/games/boxart/full_armored-core-v_69AmericaFront.jpg,0.0998951101343594
Speed Racer: The Videogame,Racing,E,Wii,Warner Bros. Interactive,Sidhe Interactive,,,,0.4,2008,/games/boxart/full_4437581AmericaFrontccc.jpg,0.05416457907351536
Robot Roller-Derby Disco Dodgeball,Sports,,PC,Unknown,Erik Asmussen,,,,0.4,2008,/games/boxart/full_4824406AmericaFrontccc.jpg,0.05416457907351536
Command & Conquer,Strategy,T,PS,Westwood Studios,Westwood Studios,,8.4,,0.4,1997,/games/boxart/2185183ccc.jpg,0.22383883603805235
Harvest Moon: Save the Homeland,Simulation,E,PS2,Natsume,Victor Interactive Software,,7.8,,0.4,2001,/games/boxart/full_7190055AmericaFrontccc.jpg,0.11500531899600384
Littlest Pet Shop,Simulation,E,Wii,Electronic Arts,EA Salt Lake,,,,0.4,2008,/games/boxart/8331274ccc.jpg,0.05416457907351536
SD Gundam G Generation Seed,Strategy,,PS2,Bandai,Bandai,,,,0.4,2004,/games/boxart/full_9381630JapanFrontccc.jpg,0.08677354274681671
Call of Duty: Finest Hour,Shooter,T,GC,Activision,EXAKT Entertainment,,7.7,,0.4,2004,/games/boxart/7303541ccc.jpg,0.08677354274681671
Naruto: Path of the Ninja,Role-Playing,E10,DS,D3 Publisher,TOSE,,,,0.4,2007,/games/boxart/6879397ccc.jpg,0.061903214324404536
Sherlock Holmes: The Mystery of the Mummy,Adventure,E,DS,Focus Home Interactive,Frogwares,,,,0.4,2009,/games/boxart/full_2114513AmericaFrontccc.jpg,0.05679801206957791
Tales of Phantasia,Role-Playing,,SNES,Namco,Wolf Team,,,,0.4,1995,/games/boxart/full_352585JapanFrontccc.jpg,0.4182787828087421
No More Heroes 2: Desperate Struggle,Action,M,Wii,Ubisoft,Grasshopper Manufacture,,8.5,,0.4,2010,/games/boxart/full_no-more-heroes-2-desperate-struggle_6AmericaFront.jpg,0.05849578099179671
Suzuki TT Superbikes,Racing,E,PS2,Valcon Games,Jester Interactive,,,,0.4,2005,/games/boxart/full_8744895AmericaFrontccc.jpg,0.08636883812320573
Planet 51,Action,E,DS,Sega,Firebrand Games,,,,0.39,2009,/games/boxart/full_planet-51_6AmericaFront.jpg,0.05537806176783846
Skylanders Giants,Misc,E10,WiiU,Activision,Unknown,,,,0.39,2012,/games/boxart/full_6104064AmericaFrontccc.jpg,0.09739773238100043
Rumble Roses,Fighting,M,PS2,Konami,Yuke's Future Media Creators,,,,0.39,2004,/games/boxart/1069779ccc.jpg,0.0846042041781463
Tomb Raider: Anniversary,Action,T,X360,Eidos Interactive,Crystal Dynamics,,7.9,,0.39,2007,/games/boxart/full_3932705AmericaFrontccc.jpg,0.06035563396629441
Harry Potter and the Deathly Hallows - Part 1,Action,T,PS3,Electronic Arts,EA Bright Light,,,,0.39,2010,/games/boxart/full_harry-potter-and-the-deathly-hallows-part-1_1AmericaFront.jpg,0.05703338646700179
Fishing Resort,Sports,E,Wii,Xseed Games,Bandai Namco Games,,,,0.39,2011,/games/boxart/full_family-fishing_280JapanFront.jpg,0.0608975359920056
